user_id,session_id,subscription_type,user_journey
1516,2980231,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Other"
1516,2980248,Annual,"Other->Sign up->Sign up->Sign up->Sign up->Sign up->Log in->Log in->Log in->Log in->Log in->Log in"
1516,2992252,Annual,"Log in->Log in->Log in->Log in->Log in->Log in"
1516,3070491,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
1516,3709807,Annual,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
1516,3723132,Annual,Checkout->Checkout->Checkout->Checkout
1516,3723365,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
1516,3723382,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
1516,3723427,Annual,Checkout->Checkout
1516,3723483,Annual,Coupon->Coupon
1516,3723508,Annual,Checkout->Checkout->Checkout->Checkout
1516,3724778,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
1516,3726160,Annual,Checkout->Checkout
3395,3645805,Annual,"Pricing->Sign up->Sign up->Log in->Log in->Log in"
3395,3657408,Annual,Homepage->Pricing
3395,3712148,Annual,Pricing->Checkout
3395,3713857,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
10107,3653049,Annual,"Homepage->Resources center->Resources center->Resources center->Resources center->Other"
10107,3655508,Annual,"Homepage->Career tracks->Career tracks->Career tracks"
10107,3655510,Annual,"Career tracks->Courses->Career tracks->Career tracks->Career tracks->Courses->Career tracks->Career tracks"
10107,3655968,Annual,"Career tracks->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
10107,3656751,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
10107,3656761,Annual,Checkout->Checkout
10107,3657001,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
10107,3657036,Annual,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
10107,3657049,Annual,Checkout->Checkout
10107,3657083,Annual,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
10107,3657114,Annual,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
10107,3657143,Annual,Checkout->Checkout
10107,3657160,Annual,Checkout->Checkout
10107,3657165,Annual,Checkout->Checkout
11145,3604036,Monthly,"Homepage->Log in->Log in->Log in"
11145,3616619,Monthly,"Log in->Log in"
11145,3663283,Monthly,"Homepage->Log in->Log in->Log in"
11145,3732821,Monthly,"Homepage->Log in->Log in->Log in->Log in->Log in"
11145,3762550,Monthly,"Homepage->Log in->Log in->Log in"
11145,3820355,Monthly,"Homepage->Log in->Log in->Log in"
11145,3824728,Monthly,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
12400,3981254,Monthly,"Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Sign up->Sign up->Log in->Log in->Log in->Log in->Log in"
12400,3981424,Monthly,"Other->Career track certificate->Career track certificate->Resources center->Resources center->Resources center->Resources center->Resources center->Resources center->Resources center"
12400,4007641,Monthly,"Homepage->Instructors->Instructors->Homepage->Homepage->Log in->Log in->Log in"
12400,4007777,Monthly,Checkout->Checkout
13082,4082241,Monthly,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
13082,4170113,Monthly,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
13082,4170146,Monthly,Checkout->Checkout
13082,4179007,Monthly,"Homepage->Sign up->Sign up->Sign up->Sign up->Sign up->Log in->Log in"
13082,4179383,Monthly,Checkout->Checkout
14415,3592143,Monthly,"Pricing->Sign up->Pricing->Sign up->Sign up->Sign up->Sign up->Sign up"
14415,3666190,Monthly,"Homepage->Log in->Log in->Log in"
14415,3722839,Monthly,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
14415,3828098,Monthly,Checkout->Checkout
14415,3828133,Monthly,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
16589,3493454,Quarterly,"Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Homepage->Homepage->Homepage->Career tracks->Homepage->Career tracks->Homepage->Homepage->Homepage->Pricing->Pricing->Pricing->Pricing->Pricing->Pricing->Pricing->Pricing->Sign up->Sign up->Sign up->Sign up->Sign up"
16589,3503180,Quarterly,"Homepage->Sign up->Sign up->Sign up->Sign up->Sign up"
16589,3528526,Quarterly,Checkout->Checkout
22679,3647017,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
22679,3648373,Annual,Coupon->Coupon->Coupon->Coupon
24414,3634177,Annual,Coupon->Coupon
24414,3634180,Annual,Coupon->Coupon
31705,3591399,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in"
31705,3591408,Annual,"Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
31705,3591431,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
31705,3592763,Annual,Checkout->Checkout
31705,3592778,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
31705,3592875,Annual,Checkout->Checkout->Checkout->Checkout
34689,3728492,Monthly,"Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Courses->Courses->Courses->Courses->Courses->Courses->Courses->Courses->Sign up->Sign up->Log in->Log in->Log in"
34689,3782453,Monthly,"Homepage->Log in->Log in->Log in"
34689,3959616,Monthly,"Log in->Log in"
34689,3969165,Monthly,Checkout->Checkout
34912,3611156,Annual,"Log in->Log in->Log in->Log in->Log in->Log in"
34912,3611166,Annual,Checkout->Checkout->Checkout->Checkout->Checkout->Checkout
37614,2960407,Annual,"Log in->Log in->Log in->Log in->Log in->Log in"
37614,2960417,Annual,Checkout->Checkout
37614,3229791,Annual,Homepage->Courses->Courses->Pricing
37614,3578314,Annual,"Homepage->Career tracks->Career tracks->Sign up->Homepage->Homepage->Homepage->Pricing"
37614,3581347,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
37614,3581355,Annual,Pricing->Checkout->Checkout->Checkout
37614,3585373,Annual,Pricing->Checkout
37614,3592447,Annual,"Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Homepage->Homepage->Homepage->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Career tracks->Pricing->Career tracks->Pricing"
37614,3597973,Annual,Homepage->Other->Other->Other->Other->Other->Other->Other
37614,3601797,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
37614,3601812,Annual,Checkout->Checkout->Checkout->Checkout
37614,3610272,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
37614,3611114,Annual,"Homepage->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
37614,3611187,Annual,Coupon->Coupon->Coupon->Coupon
37614,3612254,Annual,Coupon->Coupon->Coupon->Coupon
37614,3612310,Annual,Coupon->Coupon->Coupon->Coupon
39452,3747997,Annual,"Courses->Sign up->Sign up->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in->Log in"
39452,3777626,Annual,Other->Other
39452,3780196,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
39452,3780278,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
41200,3597671,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
41200,3597893,Annual,Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon->Coupon
